Provider ID|Hospital overall rating|Hospital overall rating footnote|Mortality national comparison|Mortality national comparison footnote|Safety of care national comparison|Safety of care national comparison footnote|Readmission national comparison|Readmission national comparison footnote|Patient experience national comparison|Patient experience national comparison footnote|Effectiveness of care national comparison|Effectiveness of care national comparison footnote|Timeliness of care national comparison|Timeliness of care national comparison footnote|Efficient use of medical imaging national comparison|Efficient use of medical imaging national comparison footnote
230024|1||Above the national average||Below the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
340015|3||Below the national average||Same as the national average||Same as the national average||Below the national average||Above the national average||Same as the national average||Same as the national average|
320063|3||Same as the national average||Below the national average||Same as the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average|
230005|3||Same as the national average||Same as the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
310113|3||Same as the national average||Below the national average||Above the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
220083|3||Same as the national average||Same as the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
220175|3||Above the national average||Below the national average||Above the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
321305|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Below the national average|
310015|4||Above the national average||Below the national average||Above the national average||Same as the national average||Same as the national average||Below the national average||Above the national average|
330226|4||Same as the national average||Above the national average||Below the national average||Above the national average||Same as the national average||Below the national average||Not Available|Results are not available for this reporting period
240187|4||Same as the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average||Above the national average||Not Available|Results are not available for this reporting period
230089|4||Above the national average||Above the national average||Below the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average|
250025|3||Same as the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average||Above the national average||Below the national average|
230195|2||Same as the national average||Above the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Below the national average|
330246|3||Same as the national average||Above the national average||Below the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average|
240064|3||Same as the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average|
241342|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
281321|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
330059|1||Above the national average||Below the national average||Below the national average||Below the national average||Below the national average||Below the national average||Above the national average|
260074|2||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average|
330008|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Below the national average||Below the national average||Same as the national average||Not Available|Results are not available for this reporting period
281332|3||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Same as the national average|
310112|3||Above the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
330203|2||Same as the national average||Below the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
301300|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Same as the national average|
271326|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
331313|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average|
250079|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
260023|3||Same as the national average||Above the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
283300|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs
290049|4||Same as the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average|
230239|4||Same as the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average|
230031|3||Same as the national average||Same as the national average||Below the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average|
230108|3||Same as the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average||Above the national average||Same as the national average|
230095|4||Same as the national average||Above the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average||Below the national average|
241318|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
330239|2||Same as the national average||Same as the national average||Same as the national average||Below the national average||Below the national average||Below the national average||Same as the national average|
251303|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
310014|2||Same as the national average||Below the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Above the national average|
241319|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period
221303|3|This hospitals star rating only includes data reported on inpatient services|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period
321301|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
290009|3||Same as the national average||Above the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
261302|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs
230080|4||Same as the national average||Above the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
241303|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period
330080|1||Same as the national average||Above the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
230017|3||Below the national average||Below the national average||Above the national average||Above the national average||Same as the national average||Same as the national average||Above the national average|
291313|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
220088|5||Same as the national average||Above the national average||Above the national average||Above the national average||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average|
281345|3||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period
260102|2||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Below the national average||Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period
330005|2||Same as the national average||Below the national average||Above the national average||Below the national average||Below the national average||Below the national average||Same as the national average|
330241|1||Same as the national average||Below the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
250019|2||Same as the national average||Same as the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average||Below the national average|
250152|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
330047|3||Below the national average||Above the national average||Same as the national average||Below the national average||Same as the national average||Above the national average||Same as the national average|
270051|4||Same as the national average||Same as the national average||Above the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average|
240057|4||Same as the national average||Below the national average||Above the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average|
291303|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
320004|2||Below the national average||Above the national average||Same as the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average|
260162|4||Not Available|Results are not available for this reporting period|Above the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Above the national average|
260080|3||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Not Available|Results are not available for this reporting period
330163|2||Same as the national average||Same as the national average||Below the national average||Below the national average||Below the national average||Same as the national average||Same as the national average|
281362|4||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average|
340008|4||Same as the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average||Below the national average||Above the national average|
330115|3||Same as the national average||Above the national average||Same as the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average|
261328|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average|
231326|4||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average|
240001|3||Same as the national average||Same as the national average||Above the national average||Below the national average||Same as the national average||Same as the national average||Above the national average|
281324|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
291301|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
321306|3|This hospitals star rating only includes data reported on inpatient services|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
240088|4||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Above the national average||Not Available|Results are not available for this reporting period
260047|3||Below the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average||Above the national average||Same as the national average|
330094|1||Same as the national average||Below the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
251318|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
230156|2||Above the national average||Below the national average||Below the national average||Above the national average||Same as the national average||Below the national average||Same as the national average|
241340|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Not Available|Results are not available for this reporting period
260061|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average|
230176|3||Above the national average||Same as the national average||Below the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average|
330259|1||Same as the national average||Same as the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
240101|4||Same as the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average||Above the national average||Same as the national average|
330108|2||Same as the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average|
261331|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs
260179|4||Above the national average||Below the national average||Above the national average||Above the national average||Above the national average||Above the national average||Above the national average|
340002|4||Same as the national average||Above the national average||Above the national average||Above the national average||Same as the national average||Below the national average||Above the national average|
241334|4||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Same as the national average||Above the national average||Not Available|Results are not available for this reporting period
230069|4||Same as the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average|
270057|3||Same as the national average||Below the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
240050|4||Same as the national average||Same as the national average||Above the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average|
310096|2||Above the national average||Below the national average||Below the national average||Below the national average||Below the national average||Below the national average||Same as the national average|
230180|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
310083|2||Above the national average||Above the national average||Below the national average||Below the national average||Below the national average||Below the national average||Not Available|Results are not available for this reporting period
240040|3||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
281328|3||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period
241345|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period
330396|2||Same as the national average||Same as the national average||Below the national average||Below the national average||Below the national average||Below the national average||Not Available|Results are not available for this reporting period
230151|2||Same as the national average||Below the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Above the national average|
271316|3||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period
261327|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Same as the national average||Not Available|Results are not available for this reporting period|Below the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
271307|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
320005|2||Same as the national average||Below the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Above the national average|
230165|2||Same as the national average||Above the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
241336|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
260052|4||Same as the national average||Above the national average||Above the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average|
291300|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period
271347|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Same as the national average||Above the national average||Not Available|Results are not available for this reporting period
280128|5||Same as the national average||Not Available|Results are not available for this reporting period|Above the national average||Above the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average|
330111|2||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Below the national average||Same as the national average||Above the national average||Same as the national average|
300005|3||Same as the national average||Same as the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
301306|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period
330231|1||Same as the national average||Same as the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
231313|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period
271333|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
310074|2||Same as the national average||Same as the national average||Below the national average||Below the national average||Same as the national average||Below the national average||Same as the national average|
240020|4||Same as the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average|
320065|2||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average|
320067|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Not Available|Results are not available for this reporting period
260227|3||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Same as the national average||Above the national average||Same as the national average|
271335|3|This hospitals star rating only includes data reported on inpatient services|Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
310057|3||Above the national average||Same as the national average||Above the national average||Same as the national average||Same as the national average||Below the national average||Above the national average|
331311|4||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period
240104|3||Same as the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average||Above the national average||Same as the national average|
223304|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs|Not Available|Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs
330100|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
320084|3||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Same as the national average||Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period
230002|3||Above the national average||Same as the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
310021|2||Same as the national average||Below the national average||Above the national average||Below the national average||Same as the national average||Same as the national average||Not Available|Results are not available for this reporting period
300020|4||Same as the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average||Same as the national average|
230217|5||Same as the national average||Same as the national average||Above the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average|
250167|4||Same as the national average||Same as the national average||Same as the national average||Above the national average||Same as the national average||Above the national average||Same as the national average|
230144|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
300034|4||Above the national average||Same as the national average||Above the national average||Same as the national average||Same as the national average||Below the national average||Same as the national average|
231332|4||Same as the national average||Not Available|Results are not available for this reporting period|Same as the national average||Above the national average||Same as the national average||Same as the national average||Same as the national average|
250162|3||Same as the national average||Not Available|Results are not available for this reporting period|Below the national average||Below the national average||Same as the national average||Same as the national average||Same as the national average|
291312|Not Available|There are too few measures or measure groups reported to calculate a star rating or measure group score|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Same as the national average||Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period|Not Available|Results are not available for this reporting period
